Time,Emotion,Confidence
2026-05-09 00:05:07,neutral,89.17
2026-05-09 00:05:07,happy,60.55
2026-05-09 00:05:07,neutral,52.09
2026-05-09 00:05:07,happy,60.27
2026-05-09 00:05:08,neutral,60.41
2026-05-09 00:05:08,neutral,60.41
2026-05-09 00:05:08,happy,66.40
2026-05-09 00:05:08,neutral,70.04
2026-05-09 00:05:08,neutral,79.01
2026-05-09 00:05:08,neutral,87.15
2026-05-09 00:05:08,neutral,81.44
2026-05-09 00:05:08,neutral,87.07
2026-05-09 00:05:08,neutral,92.25
2026-05-09 00:05:09,neutral,93.75
2026-05-09 00:05:09,neutral,97.27
2026-05-09 00:05:09,neutral,97.27
2026-05-09 00:05:09,neutral,68.24
2026-05-09 00:05:09,happy,99.05
2026-05-09 00:05:09,happy,99.05
2026-05-09 00:05:09,happy,96.55
2026-05-09 00:05:09,happy,84.05
2026-05-09 00:05:09,surprise,77.71
2026-05-09 00:05:10,surprise,77.71
2026-05-09 00:05:10,surprise,78.80
2026-05-09 00:05:10,surprise,47.27
2026-05-09 00:05:10,surprise,47.27
2026-05-09 00:05:10,surprise,49.16
2026-05-09 00:05:10,happy,82.30
2026-05-09 00:05:10,surprise,72.20
2026-05-09 00:05:10,surprise,51.46
2026-05-09 00:05:10,surprise,65.89
2026-05-09 00:05:10,happy,51.15
2026-05-09 00:05:11,surprise,57.38
2026-05-09 00:05:11,surprise,47.28
2026-05-09 00:05:11,happy,49.66
2026-05-09 00:05:11,happy,79.33
2026-05-09 00:05:11,happy,74.27
2026-05-09 00:05:11,neutral,69.31
2026-05-09 00:05:11,neutral,83.90
2026-05-09 00:05:11,neutral,86.50
2026-05-09 00:05:11,neutral,85.10
2026-05-09 00:05:12,neutral,72.44
2026-05-09 00:05:12,neutral,78.01
2026-05-09 00:05:12,happy,68.25
2026-05-09 00:05:12,neutral,42.08
2026-05-09 00:05:12,neutral,93.33
2026-05-09 00:05:12,neutral,85.38
2026-05-09 00:05:12,neutral,54.54
2026-05-09 00:05:12,happy,65.66
2026-05-09 00:05:12,happy,69.07
2026-05-09 00:05:12,neutral,88.02
2026-05-09 00:05:13,neutral,98.43
2026-05-09 00:05:13,neutral,99.50
2026-05-09 00:05:13,neutral,98.84
2026-05-09 00:05:13,neutral,99.88
2026-05-09 00:05:13,neutral,99.53
2026-05-09 00:05:13,neutral,98.38
2026-05-09 00:05:13,neutral,98.37
2026-05-09 00:05:13,neutral,98.70
2026-05-09 00:05:14,neutral,98.27
2026-05-09 00:05:14,neutral,82.66
2026-05-09 00:05:14,sad,42.46
2026-05-09 00:05:14,neutral,53.67
2026-05-09 00:05:14,neutral,53.67
2026-05-09 00:05:14,sad,45.52
2026-05-09 00:05:14,sad,43.63
2026-05-09 00:05:14,fear,71.76
2026-05-09 00:05:15,fear,90.44
2026-05-09 00:05:15,fear,89.46
2026-05-09 00:05:16,fear,71.27
2026-05-09 00:05:16,fear,52.20
2026-05-09 00:05:16,fear,58.68
2026-05-09 00:05:16,fear,66.65
2026-05-09 00:05:16,fear,66.65
2026-05-09 00:05:16,fear,62.30
2026-05-09 00:05:16,fear,62.30
2026-05-09 00:05:16,fear,76.80
2026-05-09 00:05:16,fear,76.82
2026-05-09 00:05:16,fear,78.50
2026-05-09 00:05:16,fear,75.09
2026-05-09 00:05:17,fear,71.12
2026-05-09 00:05:17,fear,71.12
2026-05-09 00:05:17,fear,66.97
2026-05-09 00:05:17,fear,66.97
2026-05-09 00:05:17,fear,55.43
2026-05-09 00:05:17,fear,64.85
2026-05-09 00:05:17,fear,82.11
2026-05-09 00:05:17,fear,68.22
2026-05-09 00:05:17,fear,63.48
2026-05-09 00:05:17,fear,76.33
2026-05-09 00:05:17,fear,72.41
2026-05-09 00:05:18,fear,68.19
2026-05-09 00:05:18,fear,60.99
2026-05-09 00:05:18,fear,74.61
2026-05-09 00:05:18,fear,74.61
2026-05-09 00:05:18,sad,48.61
2026-05-09 00:05:18,fear,45.75
2026-05-09 00:05:18,fear,47.71
2026-05-09 00:05:18,sad,58.54
2026-05-09 00:05:18,sad,60.77
2026-05-09 00:05:19,sad,66.66
2026-05-09 00:05:19,sad,62.32
2026-05-09 00:05:19,sad,61.25
2026-05-09 00:05:19,sad,63.09
2026-05-09 00:05:19,sad,73.63
2026-05-09 00:05:19,fear,60.70
2026-05-09 00:05:19,fear,66.74
2026-05-09 00:05:20,fear,63.44
2026-05-09 00:05:20,fear,61.82
2026-05-09 00:05:20,sad,64.14
2026-05-09 00:05:20,sad,49.75
2026-05-09 00:05:20,sad,65.05
2026-05-09 00:05:20,sad,59.72
2026-05-09 00:05:20,fear,65.08
2026-05-09 00:05:20,fear,63.96
2026-05-09 00:05:21,neutral,63.49
2026-05-09 00:05:22,neutral,91.96
2026-05-09 00:05:22,neutral,76.36
2026-05-09 00:05:22,neutral,98.58
2026-05-09 00:05:22,neutral,97.34
2026-05-09 00:05:22,neutral,99.91
2026-05-09 00:05:22,neutral,60.35
2026-05-09 00:05:22,neutral,93.57
2026-05-09 00:05:22,fear,97.87
2026-05-09 00:05:22,neutral,57.38
2026-05-09 00:05:23,neutral,49.14
2026-05-09 00:05:23,fear,64.87
2026-05-09 00:05:23,neutral,56.95
2026-05-09 00:05:23,neutral,66.46
2026-05-09 00:05:23,fear,96.48
2026-05-09 00:05:23,fear,93.26
2026-05-09 00:05:23,fear,49.01
2026-05-09 00:05:23,fear,82.02
2026-05-09 00:05:23,neutral,98.52
2026-05-09 00:05:23,neutral,92.43
2026-05-09 00:05:24,neutral,98.99
2026-05-09 00:05:24,neutral,40.68
2026-05-09 00:05:24,neutral,48.25
2026-05-09 00:05:24,surprise,46.15
2026-05-09 00:05:24,surprise,75.13
2026-05-09 00:05:24,surprise,54.52
2026-05-09 00:05:24,surprise,52.54
2026-05-09 00:05:24,neutral,89.44
2026-05-09 00:05:24,neutral,91.16
2026-05-09 00:05:24,neutral,72.56
2026-05-09 00:05:25,neutral,78.54
2026-05-09 00:05:25,neutral,85.36
2026-05-09 00:05:25,neutral,90.09
2026-05-09 00:05:25,neutral,93.20
2026-05-09 00:05:25,neutral,95.71
2026-05-09 00:05:25,neutral,95.65
2026-05-09 00:05:25,neutral,91.95
2026-05-09 00:05:25,neutral,93.23
2026-05-09 00:05:25,neutral,84.64
2026-05-09 00:05:26,neutral,93.90
2026-05-09 00:05:26,neutral,96.27
2026-05-09 00:05:26,neutral,86.60
2026-05-09 00:05:26,neutral,59.88
2026-05-09 00:05:26,neutral,91.69
2026-05-09 00:05:26,neutral,92.72
2026-05-09 00:05:26,neutral,92.72
2026-05-09 00:05:26,neutral,79.66
2026-05-09 00:05:26,neutral,74.35
2026-05-09 00:05:27,neutral,50.72
2026-05-09 00:05:27,sad,76.96
2026-05-09 00:05:27,sad,58.30
2026-05-09 00:05:27,fear,52.76
2026-05-09 00:05:27,fear,62.76
2026-05-09 00:05:27,fear,54.25
2026-05-09 00:05:27,fear,78.61
2026-05-09 00:05:28,fear,72.36
2026-05-09 00:05:28,fear,52.25
2026-05-09 00:05:28,fear,67.50
2026-05-09 00:05:28,fear,51.32
2026-05-09 00:05:28,fear,80.01
2026-05-09 00:05:28,fear,62.69
2026-05-09 00:05:28,neutral,41.67
2026-05-09 00:05:29,surprise,54.12
2026-05-09 00:05:29,surprise,80.34
2026-05-09 00:05:29,surprise,80.34
2026-05-09 00:05:29,happy,39.49
2026-05-09 00:05:29,surprise,47.77
2026-05-09 00:05:29,surprise,75.41
2026-05-09 00:05:29,surprise,53.87
2026-05-09 00:05:29,surprise,73.06
2026-05-09 00:05:30,surprise,77.08
2026-05-09 00:05:30,surprise,79.80
2026-05-09 00:05:30,surprise,81.89
2026-05-09 00:05:30,surprise,84.33
2026-05-09 00:05:30,surprise,80.00
2026-05-09 00:05:30,surprise,88.13
2026-05-09 00:05:30,surprise,78.91
2026-05-09 00:05:30,surprise,78.83
2026-05-09 00:05:31,surprise,61.08
2026-05-09 00:05:31,neutral,45.54
2026-05-09 00:05:31,neutral,94.50
2026-05-09 00:05:31,neutral,68.58
2026-05-09 00:05:31,neutral,42.36
2026-05-09 00:05:31,neutral,78.38
2026-05-09 00:05:31,neutral,82.53
2026-05-09 00:05:31,neutral,74.04
2026-05-09 00:05:32,neutral,92.53
2026-05-09 00:05:32,neutral,99.49
2026-05-09 00:05:32,neutral,89.32
2026-05-09 00:05:32,neutral,89.04
2026-05-09 00:05:32,neutral,95.58
2026-05-09 00:05:32,neutral,90.19
2026-05-09 00:05:32,neutral,74.47
2026-05-09 00:05:32,neutral,70.28
2026-05-09 00:05:33,sad,56.23
2026-05-09 00:05:33,sad,49.97
2026-05-09 00:05:33,neutral,60.60
2026-05-09 00:05:33,neutral,56.05
2026-05-09 00:05:33,neutral,75.24
2026-05-09 00:05:33,neutral,75.24
2026-05-09 00:05:33,neutral,93.14
2026-05-09 00:05:33,neutral,94.96
2026-05-09 00:05:34,neutral,73.49
2026-05-09 00:05:34,neutral,75.28
2026-05-09 00:05:34,neutral,62.13
2026-05-09 00:05:34,neutral,94.50
2026-05-09 00:05:34,neutral,96.33
2026-05-09 00:05:34,neutral,87.58
2026-05-09 00:05:34,neutral,92.26
2026-05-09 00:05:34,neutral,86.89
2026-05-09 00:05:35,neutral,87.02
2026-05-09 00:05:35,neutral,69.39
2026-05-09 00:05:35,neutral,62.47
2026-05-09 00:05:35,neutral,69.73
2026-05-09 00:05:35,neutral,46.49
2026-05-09 00:05:35,sad,59.83
2026-05-09 00:05:35,sad,59.83
2026-05-09 00:05:36,sad,60.49
2026-05-09 00:05:36,sad,53.44
2026-05-09 00:05:36,sad,59.99
2026-05-09 00:05:36,sad,39.73
2026-05-09 00:05:36,fear,60.39
2026-05-09 00:05:36,fear,65.76
2026-05-09 00:05:36,fear,67.49
2026-05-09 00:05:37,fear,53.39
2026-05-09 00:05:37,fear,61.79
2026-05-09 00:05:37,fear,66.21
2026-05-09 00:05:37,fear,64.03
2026-05-09 00:05:37,fear,60.32
2026-05-09 00:05:37,fear,66.79
2026-05-09 00:05:38,fear,66.09
2026-05-09 00:05:38,fear,58.57
2026-05-09 00:05:38,fear,67.07
2026-05-09 00:05:38,fear,67.79
2026-05-09 00:05:38,fear,51.80
2026-05-09 00:05:38,fear,51.63
2026-05-09 00:05:39,fear,57.94
2026-05-09 00:05:39,sad,54.66
2026-05-09 00:05:39,fear,53.58
2026-05-09 00:05:39,sad,55.40
2026-05-09 00:05:39,fear,47.29
2026-05-09 00:05:39,neutral,43.88
2026-05-09 00:05:39,neutral,40.55
2026-05-09 00:05:40,sad,47.56
2026-05-09 00:05:40,sad,49.62
